0,0,0,0,0,0,11,11,11,0,0,0,0,0,0
0,0,0,0,11,11,11,3,11,11,11,0,0,0,0
0,0,0,11,11,11,11,11,11,11,11,11,0,0,0
0,0,11,11,6,0,0,7,6,26,0,11,11,0,0
0,11,11,11,11,11,11,11,11,111,11,11,11,11,0
0,11,6,9,7,11,0,6,7,11,7,6,0,11,0
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,9,0,7,11,0,7,11,7,4,5,4,7,9,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0,11,7,0,0,7,0,0,0,7,26,0,9,11,0
0,11,11,0,0,11,11,9,11,11,0,0,11,11,0
0,0,11,11,0,0,11,11,11,0,0,11,11,0,0
0,0,0,11,11,6,0,0,0,36,11,11,0,0,0
0,0,0,0,11,11,11,2,11,11,11,0,0,0,0
0,0,0,0,0,0,11,11,11,0,0,0,0,0,0
